2016/1/31,東京,4,未勝利,芝,1600,9,タイニーアゲン,97.06,14,23.8,15,16
2016/1/31,東京,4,未勝利,芝,1600,10,フレンチフューゴ,96.28,10,42.4,10,10
2016/1/31,東京,4,未勝利,芝,1600,11,ダノンアイリス,95.01,4,69.5,4,６
2016/1/31,東京,4,未勝利,芝,1600,12,サンニードルス,98.11,16,15.8,16,15
2016/1/31,東京,4,未勝利,芝,1600,13,テイエムダークダン,96.93,13,47.2,9,14
2016/1/31,東京,4,未勝利,芝,1600,14,コスモレティクルム,94.94,3,82.0,2,８
2016/1/31,東京,4,未勝利,芝,1600,15,ジェネレーション,97.11,15,28.3,14,11
2016/1/31,東京,4,未勝利,芝,1600,16,ゴールドエフォート,96.27,9,63.9,5,４
2016/1/31,東京,5,新馬,芝,1800,1,デルマオシマ,111.89,9,36.9,14,４
2016/1/31,東京,5,新馬,芝,1800,2,スカイムーヴァー,111.31,4,57.3,5,２
2016/1/31,東京,5,新馬,芝,1800,3,マイハーベスト,112.51,15,39.2,13,７
2016/1/31,東京,5,新馬,芝,1800,4,ヨシノザクラ,111.63,8,39.8,11,３
2016/1/31,東京,5,新馬,芝,1800,5,レッドアルカナ,111.08,1,65.3,3,６
2016/1/31,東京,5,新馬,芝,1800,6,オアーゾ,112.01,11,40.8,9,１
2016/1/31,東京,5,新馬,芝,1800,7,ケイツールナ,111.91,10,22.3,16,13
2016/1/31,東京,5,新馬,芝,1800,8,オールドクラシック,111.54,7,77.0,2,５
2016/1/31,東京,5,新馬,芝,1800,9,ダノンワールド,111.24,3,83.0,1,14
2016/1/31,東京,5,新馬,芝,1800,10,ハーモニーウェイブ,112.30,14,40.4,10,11
2016/1/31,東京,5,新馬,芝,1800,11,バルトルディ,111.44,6,61.7,4,８
2016/1/31,東京,5,新馬,芝,1800,12,シグムンド,112.25,13,52.4,8,15
2016/1/31,東京,5,新馬,芝,1800,13,クーラーキング,111.12,2,57.3,5,15
2016/1/31,東京,5,新馬,芝,1800,14,レッドフレンジー,111.34,5,56.4,7,10
2016/1/31,東京,5,新馬,芝,1800,15,ナガラスマイル,112.23,12,39.5,12,12
2016/1/31,東京,5,新馬,芝,1800,16,セイザン,112.59,16,30.0,15,９
2016/1/31,東京,6,500万下,ダ,2100,1,キネオフォルツァ,136.40,8,66.1,3,２
2016/1/31,東京,6,500万下,ダ,2100,2,ヘイローフォンテン,136.06,4,64.1,4,７
2016/1/31,東京,6,500万下,ダ,2100,3,モシモシ,137.06,9,40.0,9,８
2016/1/31,東京,6,500万下,ダ,2100,4,インパルション,135.40,2,49.5,5,６
2016/1/31,東京,6,500万下,ダ,2100,5,デバイスドライバー,136.19,6,46.5,7,４
2016/1/31,東京,6,500万下,ダ,2100,6,ウインセイヴィア,137.52,10,26.0,10,10
2016/1/31,東京,6,500万下,ダ,2100,7,レッドカノーヴァ,136.21,7,48.7,6,５
2016/1/31,東京,6,500万下,ダ,2100,8,カンタベリーヒメ,139.07,11,17.5,11,11
2016/1/31,東京,6,500万下,ダ,2100,9,メイスンキャプテン,136.15,5,71.0,2,３
2016/1/31,東京,6,500万下,ダ,2100,10,ペイシャゴンジセ,136.02,3,43.4,8,９
2016/1/31,東京,6,500万下,ダ,2100,11,エルズミーア,134.75,1,76.5,1,１
2016/1/31,東京,7,500万下,ダ,1600,1,ベルウッドケルン,100.64,12,49.7,9,２
2016/1/31,東京,7,500万下,ダ,1600,2,ベイビータピット,100.18,7,55.6,6,10
2016/1/31,東京,7,500万下,ダ,1600,3,ウサギノカケアシ,99.74,4,51.8,8,９
2016/1/31,東京,7,500万下,ダ,1600,4,エンドレストライ,100.29,10,47.6,11,11
2016/1/31,東京,7,500万下,ダ,1600,5,コスモカウピリ,100.22,9,32.7,15,12
2016/1/31,東京,7,500万下,ダ,1600,6,グリシーヌシチー,101.64,16,27.9,16,16
2016/1/31,東京,7,500万下,ダ,1600,7,アバオアクー,99.41,3,68.3,2,１
2016/1/31,東京,7,500万下,ダ,1600,8,ジェイケイライアン,100.58,11,35.8,13,６
