2016/1/31,中京,未勝利,2,未勝利,ダ,1400,15,$アメリカンイナズマ,2,,２,87.53,2,69.5,2
2016/1/31,中京,500万,3,500万下・牝,ダ,1800,6, パパラヴズマンボ,3,,２,115.59,3,65.4,2
2016/1/31,中京,未勝利,4,障害未勝利,芝,3000,10, ヴィクトリースター,2,,２,201.20,4,,
2016/1/31,中京,未勝利,5,障害未勝利,芝,3000,7,*ホーカーテンペスト,2,,２,202.10,3,,
2016/1/31,中京,500万,6,500万下,ダ,1200,1, メイショウアバラガ,2,,２,72.86,1,71.3,1
2016/1/31,中京,未勝利,7,未勝利,芝,2000,4, ホットファイヤー,3,,２,124.07,2,73.7,4
2016/1/31,中京,500万,8,500万下・若,ダ,1800,4, エッジクリフ,4,,２,115.94,11,58.5,4
2016/1/31,中京,500万,9,500万下,芝,1400,3, ティアップブロンド,12,,２,83.63,13,30.2,15
2016/1/31,中京,500万,10,ごぎょう500*,ダ,1200,14, シゲルサケガシラ,5,,２,73.16,5,73.1,3
2016/1/31,中京,1000万,11,中京スポ1000,芝,1600,7, レーヴデトワール,3,,２,96.63,11,46.4,8
2016/1/31,中京,500万,12,熱田特別500,芝,2000,10, ビオラフォーエバー,3,,２,123.79,4,74.9,3
2016/1/31,京都,未勝利,1,未勝利・牝,ダ,1800,11, エクロジオン,8,,２,116.09,5,57.6,5
2016/1/31,京都,未勝利,2,未勝利,ダ,1200,1, クリノクロンボー,6,,２,74.09,5,50.5,10
2016/1/31,京都,未勝利,3,未勝利,ダ,1800,5, メイショウドスコイ,8,,２,116.16,11,57.6,6
2016/1/31,京都,新馬,4,新馬,ダ,1400,3, チカリータ,2,,２,88.03,3,56.9,2
2016/1/31,京都,未勝利,5,未勝利,芝,2000,5, ゼンノタヂカラオ,1,,２,122.31,1,87.2,1
2016/1/31,京都,500万,6,500万下*,ダ,1800,4, イーストオブザサン,8,,２,114.95,2,44.1,6
2016/1/31,京都,500万,7,500万下*,芝,1400,12, フォールインラブ,5,,２,81.74,2,56.4,5
2016/1/31,京都,500万,8,500万下,ダ,1400,2,$カフジオリオン,1,,２,86.32,5,55.1,6
2016/1/31,京都,1000万,9,大津特別1000,ダ,1800,13, オルナ,7,,２,112.99,5,57.5,4
2016/1/31,京都,1600万,10,松籟ＳＨ1600,芝,2400,1, ペンタトニック,2,,２,145.99,1,71.5,3
2016/1/31,京都,Ｇ３,11,シルクロＨG3,芝,1200,8, ローレルベローチェ,5,,２,68.34,11,43.9,11
2016/1/31,京都,1000万,12,1000万下,芝,1400,12, カピオラニパレス,4,,２,81.69,2,55.6,6
2016/1/31,東京,未勝利,1,未勝利・牝,ダ,1400,7, カグラグレイス,4,,３,88.90,6,47.4,10
2016/1/31,東京,未勝利,2,未勝利,ダ,2100,1, ノーブルワルツ,11,,３,137.64,5,34.9,14
2016/1/31,東京,新馬,3,新馬,ダ,1600,15, チェストケゴールド,6,,３,103.45,11,49.4,9
2016/1/31,東京,未勝利,4,未勝利,芝,1600,5, ヒロインボーイ,10,,３,96.31,11,51.5,8
2016/1/31,東京,新馬,5,新馬,芝,1800,4, ヨシノザクラ,4,,３,111.63,8,39.8,11
2016/1/31,東京,500万,6,500万下,ダ,2100,9, メイスンキャプテン,7,,３,136.15,5,71.0,2
2016/1/31,東京,500万,7,500万下,ダ,1600,10, デジタルフラッシュ,1,,３,99.05,1,80.0,1
2016/1/31,東京,1000万,8,1000万下,ダ,1400,4, マッチレスヒーロー,2,,３,85.55,2,68.6,1
2016/1/31,東京,500万,9,セントポ500*,芝,1800,5, ジュンヴァルカン,4,,３,109.61,6,42.7,9
2016/1/31,東京,1600万,10,節分ＳＨ1600,芝,1600,1, ロジチャリス,5,,３,94.41,6,48.4,9
2016/1/31,東京,Ｇ３,11,根岸ＳG3,ダ,1400,2, グレープブランデー,10,,３,84.35,7,47.7,10
2016/1/31,東京,1000万,12,1000万下,芝,1800,5, マイネルネーベル,6,,３,107.84,1,60.0,5
2016/1/31,中京,未勝利,1,未勝利,ダ,1800,12, タガノバトラ,4,,３,118.10,8,63.0,4
2016/1/31,中京,未勝利,2,未勝利,ダ,1400,16,$エイシンビジョン,4,,３,88.10,5,49.5,9
2016/1/31,中京,500万,3,500万下・牝,ダ,1800,7, ベーリングメファ,2,,３,116.56,8,68.0,1
2016/1/31,中京,未勝利,4,障害未勝利,芝,3000,13, マコトサダイジン,3,,３,199.84,1,,
2016/1/31,中京,未勝利,5,障害未勝利,芝,3000,1, メイショウオヤシオ,1,,３,199.11,1,,
2016/1/31,中京,500万,6,500万下,ダ,1200,4, ウエスタンニンジャ,13,,３,73.09,5,51.0,9
2016/1/31,中京,未勝利,7,未勝利,芝,2000,3, ネイチャーレット,6,,３,126.00,12,45.6,10
2016/1/31,中京,500万,8,500万下・若,ダ,1800,6, ロードプレステージ,2,,３,115.51,3,53.3,6
2016/1/31,中京,500万,9,500万下,芝,1400,8, ウォーターラボ,4,,３,82.80,5,50.9,9
2016/1/31,中京,500万,10,ごぎょう500*,ダ,1200,4, スノードリーム,6,,３,73.07,3,53.4,7
2016/1/31,中京,1000万,11,中京スポ1000,芝,1600,6, ハドソンヤード,4,,３,96.10,4,64.2,3
2016/1/31,中京,500万,12,熱田特別500,芝,2000,2, コートオブアームズ,8,,３,123.32,3,58.6,4
2016/1/31,京都,未勝利,1,未勝利・牝,ダ,1800,9, フレグラントブレス,1,,３,114.74,1,75.5,1
2016/1/31,京都,未勝利,2,未勝利,ダ,1200,15, バトルハルトマン,2,,３,74.08,4,46.4,11
2016/1/31,京都,未勝利,3,未勝利,ダ,1800,4, ジュメイラリーフ,5,,３,115.56,4,48.8,10
2016/1/31,京都,新馬,4,新馬,ダ,1400,5, ショウサングランド,6,,３,88.84,9,41.7,16
2016/1/31,京都,未勝利,5,未勝利,芝,2000,11, ニホンピロカーン,7,,３,123.16,5,58.8,6
2016/1/31,京都,500万,6,500万下*,ダ,1800,8, スーパーライナー,1,,３,113.56,1,78.0,1
2016/1/31,京都,500万,7,500万下*,芝,1400,9, ソルヴェイグ,1,,３,81.85,5,76.2,2
2016/1/31,京都,500万,8,500万下,ダ,1400,1,$メンカウラー,5,,３,85.97,2,68.2,3
2016/1/31,京都,1000万,9,大津特別1000,ダ,1800,11, オールブラッシュ,5,,３,112.65,4,43.2,10
2016/1/31,京都,1600万,10,松籟ＳＨ1600,芝,2400,4, ウインアルザス,3,,３,146.66,4,75.3,2
2016/1/31,京都,Ｇ３,11,シルクロＨG3,芝,1200,7, ワキノブレイブ,11,,３,68.33,10,47.5,9
2016/1/31,京都,1000万,12,1000万下,芝,1400,1, ウイングパラダイス,11,,３,82.67,11,54.4,7
2016/1/31,東京,未勝利,1,未勝利・牝,ダ,1400,1, アッキー,9,,４,89.34,9,60.0,6
2016/1/31,東京,未勝利,2,未勝利,ダ,2100,5, シゲルシマダイ,3,,４,137.70,7,67.7,3
2016/1/31,東京,新馬,3,新馬,ダ,1600,14, エビスリアン,1,,４,102.29,3,54.2,4
